rise,set,full
,01/01/2015 4:09 AM,0.8814
01/01/2015 3:37 PM,01/02/2015 5:04 AM,0.9153
01/02/2015 4:27 PM,01/03/2015 5:57 AM,0.9492
01/03/2015 5:18 PM,01/04/2015 6:47 AM,0.9831
01/04/2015 6:10 PM,01/05/2015 7:34 AM,1
01/05/2015 7:02 PM,01/06/2015 8:18 AM,0.0339
01/06/2015 7:53 PM,01/07/2015 8:58 AM,0.0678
01/07/2015 8:43 PM,01/08/2015 9:37 AM,0.1017
01/08/2015 9:33 PM,01/09/2015 10:13 AM,0.1356
01/09/2015 10:21 PM,01/10/2015 10:49 AM,0.1695
01/10/2015 11:10 PM,01/11/2015 11:25 AM,0.2034
01/11/2015 11:59 PM,01/12/2015 12:02 PM,0.2373
01/13/2015 12:50 AM,01/13/2015 12:40 PM,0.2712
01/14/2015 1:42 AM,01/14/2015 1:22 PM,0.3051
01/15/2015 2:36 AM,01/15/2015 2:07 PM,0.3390
01/16/2015 3:32 AM,01/16/2015 2:57 PM,0.3729
01/17/2015 4:30 AM,01/17/2015 3:52 PM,0.4068
01/18/2015 5:28 AM,01/18/2015 4:51 PM,0.4407
01/19/2015 6:25 AM,01/19/2015 5:54 PM,0.4746
01/20/2015 7:20 AM,01/20/2015 6:59 PM,0.5085
01/21/2015 8:12 AM,01/21/2015 8:04 PM,0.5424
01/22/2015 9:02 AM,01/22/2015 9:07 PM,0.5763
01/23/2015 9:49 AM,01/23/2015 10:10 PM,0.6102
01/24/2015 10:34 AM,01/24/2015 11:11 PM,0.6441
01/25/2015 11:18 AM,01/26/2015 12:10 AM,0.6780
01/26/2015 12:03 PM,01/27/2015 1:08 AM,0.7119
01/27/2015 12:49 PM,01/28/2015 2:05 AM,0.7458
01/28/2015 1:36 PM,01/29/2015 3:00 AM,0.7797
01/29/2015 2:24 PM,01/30/2015 3:53 AM,0.8136
01/30/2015 3:14 PM,01/31/2015 4:43 AM,0.8475
01/31/2015 4:05 PM,02/01/2015 5:31 AM,0.8814
02/01/2015 4:56 PM,02/02/2015 6:15 AM,0.9153
02/02/2015 5:47 PM,02/03/2015 6:57 AM,0.9492
02/03/2015 6:38 PM,02/04/2015 7:36 AM,1
02/04/2015 7:27 PM,02/05/2015 8:13 AM,0.0678
02/05/2015 8:16 PM,02/06/2015 8:50 AM,0.1017
02/06/2015 9:05 PM,02/07/2015 9:25 AM,0.1356
02/07/2015 9:54 PM,02/08/2015 10:01 AM,0.1695
02/08/2015 10:43 PM,02/09/2015 10:39 AM,0.2034
02/09/2015 11:34 PM,02/10/2015 11:18 AM,0.2373
02/11/2015 12:26 AM,02/11/2015 12:00 PM,0.2712
02/12/2015 1:19 AM,02/12/2015 12:47 PM,0.3051
02/13/2015 2:14 AM,02/13/2015 1:37 PM,0.3390
02/14/2015 3:10 AM,02/14/2015 2:33 PM,0.3729
02/15/2015 4:07 AM,02/15/2015 3:32 PM,0.4068
02/16/2015 5:02 AM,02/16/2015 4:35 PM,0.4407
02/17/2015 5:56 AM,02/17/2015 5:40 PM,0.4746
02/18/2015 6:47 AM,02/18/2015 6:46 PM,0.5085
02/19/2015 7:37 AM,02/19/2015 7:51 PM,0.5424
02/20/2015 8:24 AM,02/20/2015 8:54 PM,0.5763
02/21/2015 9:11 AM,02/21/2015 9:57 PM,0.6102
02/22/2015 9:58 AM,02/22/2015 10:58 PM,0.6441
02/23/2015 10:45 AM,02/23/2015 11:57 PM,0.6780
02/24/2015 11:33 AM,02/25/2015 12:54 AM,0.7119
02/25/2015 12:22 PM,02/26/2015 1:49 AM,0.7458
02/26/2015 1:12 PM,02/27/2015 2:40 AM,0.7797
02/27/2015 2:02 PM,02/28/2015 3:28 AM,0.8136
