Day,rise,set,moon,phase
27,12/27/2014 7:15 AM,12/27/2014 6:04 PM,0.7797,8
28,12/28/2014 7:15 AM,12/28/2014 6:04 PM,0.8136,9
29,12/29/2014 7:16 AM,12/29/2014 6:05 PM,0.8475,10
30,12/30/2014 7:16 AM,12/30/2014 6:05 PM,0.8814,11
31,12/31/2014 7:17 AM,12/31/2014 6:06 PM,0.9153,12
1,01/01/2015 7:17 AM,01/01/2015 6:06 PM,0.9492,13
2,01/02/2015 7:18 AM,01/02/2015 6:07 PM,0.9831,14
3,01/03/2015 7:18 AM,01/03/2015 6:07 PM,1,15
4,01/04/2015 7:18 AM,01/04/2015 6:08 PM,0.0339,16
5,01/05/2015 7:19 AM,01/05/2015 6:09 PM,0.0678,17
6,01/06/2015 7:19 AM,01/06/2015 6:09 PM,0.1017,18
7,01/07/2015 7:19 AM,01/07/2015 6:10 PM,0.1356,19
8,01/08/2015 7:19 AM,01/08/2015 6:11 PM,0.1695,20
9,01/09/2015 7:19 AM,01/09/2015 6:11 PM,0.2034,21
10,01/10/2015 7:19 AM,01/10/2015 6:12 PM,0.2373,22
11,01/11/2015 7:19 AM,01/11/2015 6:13 PM,0.2712,23
12,01/12/2015 7:20 AM,01/12/2015 6:13 PM,0.3051,24
13,01/13/2015 7:20 AM,01/13/2015 6:14 PM,0.339,25
14,01/14/2015 7:20 AM,01/14/2015 6:15 PM,0.3729,26
15,01/15/2015 7:20 AM,01/15/2015 6:15 PM,0.4068,27
16,01/16/2015 7:20 AM,01/16/2015 6:16 PM,0.4407,28
17,01/17/2015 7:20 AM,01/17/2015 6:17 PM,0.4746,29
18,01/18/2015 7:20 AM,01/18/2015 6:17 PM,0.5085,30
19,01/19/2015 7:20 AM,01/19/2015 6:18 PM,0.5424,1
20,01/20/2015 7:19 AM,01/20/2015 6:19 PM,0.5763,2
21,01/21/2015 7:19 AM,01/21/2015 6:20 PM,0.6102,3
22,01/22/2015 7:19 AM,01/22/2015 6:20 PM,0.6441,4
23,01/23/2015 7:19 AM,01/23/2015 6:21 PM,0.678,5
24,01/24/2015 7:19 AM,01/24/2015 6:22 PM,0.7119,6
25,01/25/2015 7:19 AM,01/25/2015 6:22 PM,0.7458,7
26,01/26/2015 7:18 AM,01/26/2015 6:23 PM,0.7797,8
27,01/27/2015 7:18 AM,01/27/2015 6:24 PM,0.8136,9
28,01/28/2015 7:18 AM,01/28/2015 6:24 PM,0.8475,10
29,01/29/2015 7:18 AM,01/29/2015 6:25 PM,0.8814,11
30,01/30/2015 7:17 AM,01/30/2015 6:26 PM,0.9153,12
31,01/31/2015 7:17 AM,01/31/2015 6:26 PM,0.9492,13
1,02/01/2015 7:17 AM,02/01/2015 6:27 PM,0.9831,14
2,02/02/2015 7:16 AM,02/02/2015 6:28 PM,1,15
3,02/03/2015 7:16 AM,02/03/2015 6:28 PM,0.0339,16
4,02/04/2015 7:15 AM,02/04/2015 6:29 PM,0.0678,17
5,02/05/2015 7:15 AM,02/05/2015 6:29 PM,0.1017,18
6,02/06/2015 7:14 AM,02/06/2015 6:30 PM,0.1356,19
7,02/07/2015 7:14 AM,02/07/2015 6:31 PM,0.1695,20
8,02/08/2015 7:13 AM,02/08/2015 6:31 PM,0.2034,21
9,02/09/2015 7:13 AM,02/09/2015 6:32 PM,0.2373,22
10,02/10/2015 7:12 AM,02/10/2015 6:32 PM,0.2712,23
11,02/11/2015 7:12 AM,02/11/2015 6:33 PM,0.3051,24
12,02/12/2015 7:11 AM,02/12/2015 6:33 PM,0.339,25
