rise,set,phase offset,moon,phase,trigmoon
12/26/2015 7:16 AM,12/26/2016 6:03 PM,16,0.0064,18,
12/27/2015 7:16 AM,12/27/2016 6:03 PM,16,0.1333,19,
12/28/2015 7:16 AM,12/28/2016 6:04 PM,17,0.1667,20,
12/29/2015 7:17 AM,12/29/2016 6:04 PM,18,0.2000,21,
12/30/2015 7:17 AM,12/30/2016 6:05 PM,19,0.2333,22,
12/31/2015 7:17 AM,12/31/2016 6:06 PM,20,0.2667,23,
01/01/2016 7:17 AM,01/01/2016 6:06 PM,10,0.3000,24,0.2126
01/02/2016 7:18 AM,01/02/2016 6:06 PM,11,0.3333,25,0.2577
01/03/2016 7:18 AM,01/03/2016 6:07 PM,12,0.3667,26,0.3056
01/04/2016 7:18 AM,01/04/2016 6:08 PM,13,0.4000,27,0.3557
01/05/2016 7:18 AM,01/05/2016 6:08 PM,14,0.4333,28,0.4074
01/06/2016 7:19 AM,01/06/2016 6:09 PM,15,0.4667,29,0.4601
01/07/2016 7:19 AM,01/07/2016 6:10 PM,16,0.5000,30,0.5133
01/08/2016 7:19 AM,01/08/2016 6:10 PM,17,0.5333,1,0.5664
01/09/2016 7:19 AM,01/09/2016 6:11 PM,18,0.5667,2,0.6187
01/10/2016 7:19 AM,01/10/2016 6:12 PM,19,0.6000,3,0.6696
01/11/2016 7:19 AM,01/11/2016 6:12 PM,20,0.6333,4,0.7187
01/12/2016 7:20 AM,01/12/2016 6:13 PM,21,0.6667,5,0.7652
01/13/2016 7:20 AM,01/13/2016 6:14 PM,22,0.7000,6,0.8088
01/14/2016 7:20 AM,01/14/2016 6:15 PM,23,0.7333,7,0.8488
01/15/2016 7:20 AM,01/15/2016 6:15 PM,24,0.7667,8,0.8849
01/16/2016 7:20 AM,01/16/2016 6:16 PM,25,0.8000,9,0.9167
01/17/2016 7:20 AM,01/17/2016 6:17 PM,26,0.8333,10,0.9437
01/18/2016 7:20 AM,01/18/2016 6:17 PM,27,0.8667,11,0.9657
01/19/2016 7:20 AM,01/19/2016 6:18 PM,28,0.9000,12,0.9824
01/20/2016 7:19 AM,01/20/2016 6:19 PM,29,0.9333,13,0.9936
01/21/2016 7:19 AM,01/21/2016 6:19 PM,30,0.9667,14,0.9993
01/22/2016 7:19 AM,01/22/2016 6:20 PM,1,1.0000,15,1.0000
01/23/2016 7:19 AM,01/23/2016 6:21 PM,2,0.0333,16,0.0028
01/24/2016 7:19 AM,01/24/2016 6:21 PM,3,0.0667,17,0.0113
01/25/2016 7:19 AM,01/25/2016 6:22 PM,4,0.1000,18,0.0253
01/26/2016 7:18 AM,01/26/2016 6:23 PM,5,0.1333,19,0.0447
01/27/2016 7:18 AM,01/27/2016 6:23 PM,6,0.1667,20,0.0692
01/28/2016 7:18 AM,01/28/2016 6:24 PM,7,0.2000,21,0.0986
01/29/2016 7:18 AM,01/29/2016 6:25 PM,8,0.2333,22,0.1326
01/30/2016 7:17 AM,01/30/2016 6:25 PM,9,0.2667,23,0.1707
01/31/2016 7:17 AM,01/31/2016 6:26 PM,10,0.3000,24,0.2126
02/01/2016 7:17 AM,02/01/2016 6:27 PM,11,0.3333,25,0.2577
02/02/2016 7:16 AM,02/02/2016 6:27 PM,12,0.3667,26,0.3056
02/03/2016 7:16 AM,02/03/2016 6:28 PM,13,0.4000,27,0.3557
02/04/2016 7:15 AM,02/04/2016 6:29 PM,14,0.4333,28,0.4074
02/05/2016 7:15 AM,02/05/2016 6:29 PM,15,0.4667,29,0.4601
02/06/2016 7:15 AM,02/06/2016 6:30 PM,16,0.5000,30,0.5133
02/07/2016 7:14 AM,02/07/2016 6:30 PM,17,0.5333,1,0.5664
02/08/2016 7:14 AM,02/08/2016 6:31 PM,18,0.5667,2,0.6187
02/09/2016 7:13 AM,02/09/2016 6:32 PM,19,0.6000,3,0.6696
02/10/2016 7:12 AM,02/10/2016 6:32 PM,20,0.6333,4,0.7187
02/11/2016 7:12 AM,02/11/2016 6:33 PM,21,0.6667,5,0.7652
02/12/2016 7:11 AM,02/12/2016 6:33 PM,22,0.7000,6,0.8088
02/13/2016 7:11 AM,02/13/2016 6:34 PM,23,0.7333,7,0.8488
02/14/2016 7:10 AM,02/14/2016 6:34 PM,24,0.7667,8,0.8849
02/15/2016 7:10 AM,02/15/2016 6:35 PM,25,0.8000,9,0.9167
02/16/2016 7:09 AM,02/16/2016 6:36 PM,26,0.8333,10,0.9437
02/17/2016 7:08 AM,02/17/2016 6:36 PM,27,0.8667,11,0.9657
02/18/2016 7:08 AM,02/18/2016 6:37 PM,28,0.9000,12,0.9824
02/19/2016 7:07 AM,02/19/2016 6:37 PM,29,0.9333,13,0.9936
02/20/2016 7:06 AM,02/20/2016 6:38 PM,30,0.9667,14,0.9993
02/21/2016 7:05 AM,02/21/2016 6:38 PM,1,1.0000,15,1.0000
02/22/2016 7:05 AM,02/22/2016 6:39 PM,2,0.0333,16,0.0028
02/23/2016 7:04 AM,02/23/2016 6:39 PM,3,0.0667,17,0.0113
02/24/2016 7:03 AM,02/24/2016 6:39 PM,4,0.1000,18,0.0253
02/25/2016 7:02 AM,02/25/2016 6:40 PM,5,0.1333,19,0.0447
02/26/2016 7:02 AM,02/26/2016 6:40 PM,6,0.1667,20,0.0692
02/27/2016 7:01 AM,02/27/2016 6:41 PM,7,0.2000,21,0.0986
02/28/2016 7:00 AM,02/28/2016 6:41 PM,8,0.2333,22,0.1326
02/29/2016 6:59 AM,02/29/2016 6:42 PM,9,0.2667,23,0.1707
03/01/2016 6:58 AM,03/01/2016 6:42 PM,10,0.3000,24,0.2126
03/02/2016 6:58 AM,03/02/2016 6:43 PM,11,0.3333,25,0.2577
03/03/2016 6:57 AM,03/03/2016 6:43 PM,12,0.3667,26,0.3056
03/04/2016 6:56 AM,03/04/2016 6:43 PM,13,0.4000,27,0.3557
03/05/2016 6:55 AM,03/05/2016 6:44 PM,14,0.4333,28,0.4074
03/06/2016 6:54 AM,03/06/2016 6:44 PM,15,0.4667,29,0.4601
03/07/2016 6:53 AM,03/07/2016 6:45 PM,16,0.5000,30,0.5133
03/08/2016 6:52 AM,03/08/2016 6:45 PM,17,0.5333,1,0.5664
03/09/2016 6:52 AM,03/09/2016 6:45 PM,18,0.5667,2,0.6187
03/10/2016 6:51 AM,03/10/2016 6:46 PM,19,0.6000,3,0.6696
03/11/2016 6:50 AM,03/11/2016 6:46 PM,20,0.6333,4,0.7187
03/12/2016 6:49 AM,03/12/2016 6:47 PM,21,0.6667,5,0.7652
03/13/2016 6:48 AM,03/13/2016 6:47 PM,22,0.7000,6,0.8088
03/14/2016 6:47 AM,03/14/2016 6:47 PM,23,0.7333,7,0.8488
03/15/2016 6:46 AM,03/15/2016 6:48 PM,24,0.7667,8,0.8849
03/16/2016 6:45 AM,03/16/2016 6:48 PM,25,0.8000,9,0.9167
03/17/2016 6:44 AM,03/17/2016 6:48 PM,26,0.8333,10,0.9437
03/18/2016 6:43 AM,03/18/2016 6:49 PM,27,0.8667,11,0.9657
03/19/2016 6:42 AM,03/19/2016 6:49 PM,28,0.9000,12,0.9824
03/20/2016 6:41 AM,03/20/2016 6:49 PM,29,0.9333,13,0.9936
03/21/2016 6:40 AM,03/21/2016 6:50 PM,30,0.9667,14,0.9993
03/22/2016 6:39 AM,03/22/2016 6:50 PM,1,1.0000,15,1.0000
03/23/2016 6:39 AM,03/23/2016 6:50 PM,2,0.0345,16,0.0028
03/24/2016 6:38 AM,03/24/2016 6:51 PM,3,0.0690,17,0.0113
03/25/2016 6:37 AM,03/25/2016 6:51 PM,4,0.1034,18,0.0253
03/26/2016 6:36 AM,03/26/2016 6:51 PM,5,0.1379,19,0.0447
03/27/2016 6:35 AM,03/27/2016 6:52 PM,6,0.1724,20,0.0692
03/28/2016 6:34 AM,03/28/2016 6:52 PM,7,0.2069,21,0.0986
03/29/2016 6:33 AM,03/29/2016 6:52 PM,8,0.2414,22,0.1326
03/30/2016 6:32 AM,03/30/2016 6:53 PM,9,0.2759,23,0.1707
03/31/2016 6:31 AM,03/31/2016 6:53 PM,10,0.3103,24,0.2126
04/01/2016 6:30 AM,04/01/2016 6:53 PM,11,0.3448,25,0.2577
04/02/2016 6:29 AM,04/02/2016 6:54 PM,12,0.3793,26,0.3056
04/03/2016 6:28 AM,04/03/2016 6:54 PM,13,0.4138,27,0.3557
04/04/2016 6:27 AM,04/04/2016 6:55 PM,14,0.4483,28,0.4074
04/05/2016 6:26 AM,04/05/2016 6:55 PM,15,0.4828,31,0.4601
04/06/2016 6:25 AM,04/06/2016 6:55 PM,16,0.5172,1,0.5133
04/07/2016 6:25 AM,04/07/2016 6:56 PM,17,0.5517,2,0.5664
04/08/2016 6:24 AM,04/08/2016 6:56 PM,18,0.5862,3,0.6187
04/09/2016 6:23 AM,04/09/2016 6:56 PM,19,0.6207,4,0.6696
04/10/2016 6:22 AM,04/10/2016 6:57 PM,20,0.6552,5,0.7187
04/11/2016 6:21 AM,04/11/2016 6:57 PM,21,0.6897,6,0.7652
04/12/2016 6:20 AM,04/12/2016 6:57 PM,22,0.7241,7,0.8088
04/13/2016 6:19 AM,04/13/2016 6:58 PM,23,0.7586,8,0.8488
04/14/2016 6:18 AM,04/14/2016 6:58 PM,24,0.7931,9,0.8849
04/15/2016 6:18 AM,04/15/2016 6:58 PM,25,0.8276,10,0.9167
04/16/2016 6:17 AM,04/16/2016 6:59 PM,26,0.8621,11,0.9437
04/17/2016 6:16 AM,04/17/2016 6:59 PM,27,0.8966,12,0.9657
04/18/2016 6:15 AM,04/18/2016 7:00 PM,28,0.9310,13,0.9824
04/19/2016 6:14 AM,04/19/2016 7:00 PM,29,0.9655,14,0.9936
04/20/2016 6:13 AM,04/20/2016 7:00 PM,1,1.0000,15,1.0000
04/21/2016 6:13 AM,04/21/2016 7:01 PM,2,0.0333,16,0.0028
04/22/2016 6:12 AM,04/22/2016 7:01 PM,3,0.0667,17,0.0113
04/23/2016 6:11 AM,04/23/2016 7:01 PM,4,0.1000,18,0.0253
04/24/2016 6:10 AM,04/24/2016 7:02 PM,5,0.1333,19,0.0447
04/25/2016 6:10 AM,04/25/2016 7:02 PM,6,0.1667,20,0.0692
04/26/2016 6:09 AM,04/26/2016 7:03 PM,7,0.2000,21,0.0986
04/27/2016 6:08 AM,04/27/2016 7:03 PM,8,0.2333,22,0.1326
04/28/2016 6:08 AM,04/28/2016 7:03 PM,9,0.2667,23,0.1707
04/29/2016 6:07 AM,04/29/2016 7:04 PM,10,0.3000,24,0.2126
04/30/2016 6:06 AM,04/30/2016 7:04 PM,11,0.3333,25,0.2577
05/01/2016 6:06 AM,05/01/2016 7:05 PM,12,0.3667,26,0.3056
05/02/2016 6:05 AM,05/02/2016 7:05 PM,13,0.4000,27,0.3557
05/03/2016 6:04 AM,05/03/2016 7:06 PM,14,0.4333,28,0.4074
05/04/2016 6:04 AM,05/04/2016 7:06 PM,15,0.4667,29,0.4601
