date,height,highlow
12/31/2017 01:53 AM,2.46,H
12/31/2017 08:23 AM,0.35,L
12/31/2017 01:07 PM,0.88,H
12/31/2017 06:39 PM,-0.36,L
01/01/2018 02:36 AM,2.61,H
01/01/2018 09:14 AM,0.28,L
01/01/2018 01:57 PM,0.81,H
01/01/2018 07:22 PM,-0.37,L
01/02/2018 03:19 AM,2.64,H
01/02/2018 10:00 AM,0.24,L
01/02/2018 02:48 PM,0.8,H
01/02/2018 08:07 PM,-0.32,L
01/03/2018 04:03 AM,2.58,H
01/03/2018 10:45 AM,0.22,L
01/03/2018 03:42 PM,0.79,H
01/03/2018 08:54 PM,-0.21,L
01/04/2018 04:46 AM,2.44,H
01/04/2018 11:30 AM,0.21,L
01/04/2018 04:43 PM,0.8,H
01/04/2018 09:41 PM,-0.04,L
01/05/2018 05:30 AM,2.24,H
01/05/2018 12:16 PM,0.19,L
01/05/2018 05:55 PM,0.83,H
01/05/2018 10:33 PM,0.18,L
01/06/2018 06:13 AM,1.99,H
01/06/2018 01:03 PM,0.17,L
01/06/2018 07:22 PM,0.91,H
01/06/2018 11:33 PM,0.42,L
01/07/2018 06:57 AM,1.72,H
01/07/2018 01:49 PM,0.14,L
01/07/2018 08:56 PM,1.07,H
01/08/2018 12:55 AM,0.64,L
01/08/2018 07:43 AM,1.46,H
01/08/2018 02:33 PM,0.1,L
01/08/2018 10:18 PM,1.29,H
01/09/2018 02:56 AM,0.77,L
01/09/2018 08:34 AM,1.21,H
01/09/2018 03:15 PM,0.06,L
01/09/2018 11:19 PM,1.53,H
01/10/2018 05:20 AM,0.74,L
01/10/2018 09:35 AM,1.01,H
01/10/2018 03:54 PM,0.02,L
01/11/2018 12:06 AM,1.74,H
01/11/2018 06:51 AM,0.64,L
01/11/2018 10:38 AM,0.88,H
01/11/2018 04:32 PM,-0.01,L
01/12/2018 12:44 AM,1.92,H
01/12/2018 07:40 AM,0.54,L
01/12/2018 11:35 AM,0.79,H
01/12/2018 05:09 PM,-0.05,L
01/13/2018 01:19 AM,2.05,H
01/13/2018 08:13 AM,0.46,L
01/13/2018 12:23 PM,0.76,H
01/13/2018 05:45 PM,-0.09,L
01/14/2018 01:51 AM,2.14,H
01/14/2018 08:39 AM,0.41,L
01/14/2018 01:03 PM,0.75,H
01/14/2018 06:20 PM,-0.12,L
01/15/2018 02:22 AM,2.19,H
01/15/2018 09:02 AM,0.37,L
01/15/2018 01:39 PM,0.77,H
01/15/2018 06:56 PM,-0.14,L
01/16/2018 02:53 AM,2.21,H
01/16/2018 09:27 AM,0.34,L
01/16/2018 02:14 PM,0.79,H
01/16/2018 07:31 PM,-0.14,L
01/17/2018 03:23 AM,2.2,H
01/17/2018 09:54 AM,0.31,L
01/17/2018 02:49 PM,0.81,H
01/17/2018 08:06 PM,-0.12,L
01/18/2018 03:53 AM,2.16,H
01/18/2018 10:23 AM,0.29,L
01/18/2018 03:26 PM,0.82,H
01/18/2018 08:42 PM,-0.05,L
01/19/2018 04:23 AM,2.08,H
01/19/2018 10:55 AM,0.26,L
01/19/2018 04:09 PM,0.83,H
01/19/2018 09:19 PM,0.05,L
01/20/2018 04:52 AM,1.97,H
01/20/2018 11:28 AM,0.23,L
01/20/2018 05:01 PM,0.84,H
01/20/2018 09:59 PM,0.19,L
01/21/2018 05:22 AM,1.82,H
01/21/2018 12:04 PM,0.19,L
01/21/2018 06:07 PM,0.89,H
01/21/2018 10:47 PM,0.36,L
01/22/2018 05:53 AM,1.64,H
01/22/2018 12:42 PM,0.15,L
01/22/2018 07:34 PM,0.99,H
01/22/2018 11:54 PM,0.55,L
01/23/2018 06:26 AM,1.43,H
01/23/2018 01:25 PM,0.1,L
01/23/2018 09:08 PM,1.18,H
01/24/2018 01:35 AM,0.7,L
01/24/2018 07:06 AM,1.21,H
01/24/2018 02:11 PM,0.03,L
01/24/2018 10:25 PM,1.45,H
01/25/2018 03:53 AM,0.73,L
01/25/2018 08:05 AM,0.99,H
01/25/2018 03:01 PM,-0.05,L
01/25/2018 11:23 PM,1.75,H
01/26/2018 05:55 AM,0.61,L
01/26/2018 09:38 AM,0.82,H
01/26/2018 03:54 PM,-0.13,L
01/27/2018 12:12 AM,2.02,H
01/27/2018 07:00 AM,0.47,L
01/27/2018 11:04 AM,0.74,H
01/27/2018 04:47 PM,-0.23,L
01/28/2018 12:57 AM,2.25,H
01/28/2018 07:43 AM,0.34,L
01/28/2018 12:11 PM,0.73,H
01/28/2018 05:38 PM,-0.31,L
01/29/2018 01:40 AM,2.41,H
01/29/2018 08:20 AM,0.25,L
01/29/2018 01:06 PM,0.77,H
01/29/2018 06:28 PM,-0.36,L
01/30/2018 02:22 AM,2.48,H
01/30/2018 08:55 AM,0.19,L
01/30/2018 01:57 PM,0.83,H
01/30/2018 07:16 PM,-0.37,L
01/31/2018 03:02 AM,2.47,H
01/31/2018 09:30 AM,0.14,L
01/31/2018 02:46 PM,0.9,H
01/31/2018 08:03 PM,-0.31,L
02/01/2018 03:42 AM,2.37,H
02/01/2018 10:05 AM,0.11,L
02/01/2018 03:36 PM,0.96,H
02/01/2018 08:49 PM,-0.2,L
02/02/2018 04:19 AM,2.2,H
02/02/2018 10:40 AM,0.09,L
02/02/2018 04:29 PM,1.01,H
02/02/2018 09:36 PM,-0.02,L
02/03/2018 04:56 AM,1.97,H
02/03/2018 11:16 AM,0.07,L
02/03/2018 05:28 PM,1.06,H
02/03/2018 10:26 PM,0.19,L
02/04/2018 05:30 AM,1.71,H
02/04/2018 11:53 AM,0.07,L
02/04/2018 06:37 PM,1.11,H
02/04/2018 11:23 PM,0.41,L
02/05/2018 06:04 AM,1.43,H
02/05/2018 12:32 PM,0.07,L
02/05/2018 07:58 PM,1.2,H
02/06/2018 12:40 AM,0.61,L
02/06/2018 06:36 AM,1.17,H
02/06/2018 01:14 PM,0.08,L
02/06/2018 09:23 PM,1.33,H
02/07/2018 02:51 AM,0.72,L
02/07/2018 07:11 AM,0.93,H
02/07/2018 02:01 PM,0.09,L
02/07/2018 10:36 PM,1.49,H
02/08/2018 06:28 AM,0.63,L
02/08/2018 08:29 AM,0.75,H
02/08/2018 02:54 PM,0.09,L
02/08/2018 11:32 PM,1.65,H
02/09/2018 07:14 AM,0.51,L
02/09/2018 10:22 AM,0.66,H
02/09/2018 03:49 PM,0.07,L
02/10/2018 12:16 AM,1.79,H
02/10/2018 07:36 AM,0.42,L
02/10/2018 11:32 AM,0.65,H
02/10/2018 04:41 PM,0.02,L
02/11/2018 12:54 AM,1.9,H
02/11/2018 07:54 AM,0.36,L
02/11/2018 12:21 PM,0.69,H
02/11/2018 05:26 PM,-0.03,L
02/12/2018 01:28 AM,1.97,H
02/12/2018 08:10 AM,0.32,L
02/12/2018 12:59 PM,0.75,H
02/12/2018 06:08 PM,-0.09,L
02/13/2018 01:59 AM,2.02,H
02/13/2018 08:27 AM,0.28,L
02/13/2018 01:33 PM,0.82,H
02/13/2018 06:46 PM,-0.13,L
02/14/2018 02:28 AM,2.04,H
02/14/2018 08:47 AM,0.24,L
02/14/2018 02:06 PM,0.89,H
