rise,set,phase offset,moon,phase,trigmoon,,
12/27/2018 7:16,12/27/2018 18:03,6,0.2333,21,0.1,,
12/28/2018 7:16,12/28/2018 18:03,7,0.2667,22,0.1,,
12/29/2018 7:16,12/29/2018 18:04,8,0.3,23,0.1,,
12/30/2018 7:17,12/30/2018 18:05,9,0.3333,24,0.1,,
12/31/2018 7:17,12/31/2018 18:05,10,0.3667,25,0.1,,
1/1/2019 7:17,1/1/2019 18:06,11,0.4,26,0.1,,
1/2/2019 7:18,1/2/2019 18:07,12,0.4333,27,0.1,,
1/3/2019 7:18,1/3/2019 18:07,13,0.4667,28,0.1,,
1/4/2019 7:18,1/4/2019 18:08,14,0.5,29,0.1,,
1/5/2019 7:19,1/5/2019 18:09,15,0.5333,30,0.1,,
1/6/2019 7:19,1/6/2019 18:09,16,0.5666,1,0.1,,
1/7/2019 7:19,1/7/2019 18:10,17,0.5999,2,0.1,,
1/8/2019 7:19,1/8/2019 18:11,18,0.6332,3,0.1,,
1/9/2019 7:19,1/9/2019 18:11,19,0.6665,4,0.1,,
1/10/2019 7:19,1/10/2019 18:12,20,0.6998,5,0.1,,
1/11/2019 7:20,1/11/2019 18:13,21,0.7331,6,0.1,,
1/12/2019 7:20,1/12/2019 18:13,22,0.7664,7,0.1,,
1/13/2019 7:20,1/13/2019 18:14,23,0.7997,8,0.1,,
1/14/2019 7:20,1/14/2019 18:15,24,0.833,9,0.1,,
1/15/2019 7:20,1/15/2019 18:15,25,0.8663,10,0.1,,
1/16/2019 7:20,1/16/2019 18:16,26,0.8996,11,0.1,,
1/17/2019 7:20,1/17/2019 18:17,27,0.9329,12,0.1,,
1/18/2019 7:20,1/18/2019 18:18,28,0.9662,13,0.1,,
1/19/2019 7:20,1/19/2019 18:18,29,1,14,0.1,,
1/20/2019 7:19,1/20/2019 18:19,30,0.0333,15,0.1,,
1/21/2019 7:19,1/21/2019 18:20,1,0.0666,16,0.1,,
1/22/2019 7:19,1/22/2019 18:20,2,0.0999,17,0.1,,
1/23/2019 7:19,1/23/2019 18:21,3,0.1332,18,0.1,,
1/24/2019 7:19,1/24/2019 18:22,4,0.1665,19,0.1,,
1/25/2019 7:19,1/25/2019 18:22,5,0.1998,20,0.1,,
1/26/2019 7:18,1/26/2019 18:23,6,0.2331,21,0.1,,
1/27/2019 7:18,1/27/2019 18:24,7,0.2664,22,0.1,,
1/28/2019 7:18,1/28/2019 18:24,8,0.2997,23,0.1,,
1/29/2019 7:18,1/29/2019 18:25,9,0.333,24,0.1,,
1/30/2019 7:17,1/30/2019 18:26,10,0.3663,25,0.1,,
1/31/2019 7:17,1/31/2019 18:26,11,0.3996,26,0.1,,
2/1/2019 7:17,2/1/2019 18:27,12,0.4329,27,0.1,,
2/2/2019 7:16,2/2/2019 18:28,13,0.4662,28,0.1,,
2/3/2019 7:16,2/3/2019 18:28,14,0.5,29,0.1,,
2/4/2019 7:15,2/4/2019 18:29,15,0.5333,30,0.1,,
2/5/2019 7:15,2/5/2019 18:29,16,0.5666,2,0.1,,
2/6/2019 7:14,2/6/2019 18:30,17,0.5999,3,0.1,,
2/7/2019 7:14,2/7/2019 18:31,18,0.6332,4,0.1,,
2/8/2019 7:13,2/8/2019 18:31,19,0.6665,5,0.1,,
2/9/2019 7:13,2/9/2019 18:32,20,0.6998,6,0.1,,
2/10/2019 7:12,2/10/2019 18:32,21,0.7331,7,0.1,,
2/11/2019 7:12,2/11/2019 18:33,22,0.7664,8,0.1,,
2/12/2019 7:11,2/12/2019 18:34,23,0.7997,9,0.1,,
2/13/2019 7:11,2/13/2019 18:34,24,0.833,10,0.1,,
2/14/2019 7:10,2/14/2019 18:35,25,0.8663,11,0.1,,
2/15/2019 7:09,2/15/2019 18:35,26,0.8996,12,0.1,,
2/16/2019 7:09,2/16/2019 18:36,27,0.9329,13,0.1,,
2/17/2019 7:08,2/17/2019 18:36,28,0.9662,14,0.1,,
2/18/2019 7:07,2/18/2019 18:37,29,1,15,0.1,,
2/19/2019 7:07,2/19/2019 18:37,30,0.0333,16,0.1,,
2/20/2019 7:06,2/20/2019 18:38,1,0.0666,17,0.1,,
2/21/2019 7:05,2/21/2019 18:38,2,0.0999,18,0.1,,
2/22/2019 7:05,2/22/2019 18:39,3,0.1332,19,0.1,,
2/23/2019 7:04,2/23/2019 18:39,4,0.1665,20,0.1,,
2/24/2019 7:03,2/24/2019 18:40,5,0.1998,21,0.1,,
2/25/2019 7:02,2/25/2019 18:40,6,0.2331,22,0.1,,
2/26/2019 7:01,2/26/2019 18:41,7,0.2664,23,0.1,,
2/27/2019 7:01,2/27/2019 18:41,8,0.2997,24,0.1,,
2/28/2019 7:00,2/28/2019 18:41,9,0.333,25,0.1,,
3/1/2019 6:59,3/1/2019 18:42,10,0.3663,26,0.1,,
3/2/2019 6:58,3/2/2019 18:42,11,0.3996,27,0.1,,
3/3/2019 6:57,3/3/2019 18:43,12,0.4329,28,0.1,,
3/4/2019 6:57,3/4/2019 18:43,13,0.4662,29,0.1,,
3/5/2019 6:56,3/5/2019 18:44,14,0.5,30,0.1,,
3/6/2019 6:55,3/6/2019 18:44,15,0.5333,1,0.1,,
3/7/2019 6:54,3/7/2019 18:44,16,0.5666,2,0.1,,
3/8/2019 6:53,3/8/2019 18:45,17,0.5999,3,0.1,,
3/9/2019 6:52,3/9/2019 18:45,18,0.6332,4,0.1,,
3/10/2019 6:51,3/10/2019 18:46,19,0.6665,5,0.1,,
3/11/2019 6:50,3/11/2019 18:46,20,0.6998,6,0.1,,
3/12/2019 6:49,3/12/2019 18:46,21,0.7331,7,0.1,,
3/13/2019 6:49,3/13/2019 18:47,22,0.7664,8,0.1,,
3/14/2019 6:48,3/14/2019 18:47,23,0.7997,9,0.1,,
3/15/2019 6:47,3/15/2019 18:47,24,0.833,10,0.1,,
3/16/2019 6:46,3/16/2019 18:48,25,0.8663,11,0.1,,
3/17/2019 6:45,3/17/2019 18:48,26,0.8996,12,0.1,,
3/18/2019 6:44,3/18/2019 18:48,27,0.9329,13,0.1,,
3/19/2019 6:43,3/19/2019 18:49,28,1,14,0.1,,
3/20/2019 6:42,3/20/2019 18:49,29,0.0333,15,0.1,,
3/21/2019 6:41,3/21/2019 18:49,1,0.0666,16,0.1,,
3/22/2019 6:40,3/22/2019 18:50,2,0.0999,17,0.1,,
3/23/2019 6:39,3/23/2019 18:50,3,0.1332,18,0.1,,
3/24/2019 6:38,3/24/2019 18:51,4,0.1665,19,0.1,,
3/25/2019 6:37,3/25/2019 18:51,5,0.1998,20,0.1,,
3/26/2019 6:36,3/26/2019 18:51,6,0.2331,21,0.1,,
3/27/2019 6:35,3/27/2019 18:52,7,0.2664,22,0.1,,
3/28/2019 6:35,3/28/2019 18:52,8,0.2997,23,0.1,,
3/29/2019 6:34,3/29/2019 18:52,9,0.333,24,0.1,,
3/30/2019 6:33,3/30/2019 18:53,10,0.3663,25,0.1,,
3/31/2019 6:32,3/31/2019 18:53,11,0.3996,26,0.1,,
4/1/2019 6:31,4/1/2019 18:53,12,0.4329,27,0.1,,
4/2/2019 6:30,4/2/2019 18:54,13,0.4662,28,0.1,,
4/3/2019 6:29,4/3/2019 18:54,14,0.5,29,0.1,,
4/4/2019 6:28,4/4/2019 18:54,15,0.5333,1,0.1,,
4/5/2019 6:27,4/5/2019 18:55,16,0.5666,2,0.1,,
4/6/2019 6:26,4/6/2019 18:55,17,0.5999,3,0.1,,
